area,source,year,common_name,sex,age,length,weight,gear
GOA,NORPAC,2008,dusky rockfish,F,21,48,2.1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,20,47,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,21,47,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,20,48,2,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,43,1.41,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,7,35,0.88,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,16,45,1.7,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,41,1.22,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,18,48,2,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,8,40,1.05,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,16,44,1.62,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,41,1.24,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,20,47,1.72,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,18,46,1.54,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,45,1.66,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,9,41,1.12,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,9,38,1.1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,32,50,1.94,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,15,45,1.54,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,18,46,1.57,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,43,1.4,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,9,39,1.05,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,44,1.39,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,44,1.88,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,16,44,1.57,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,43,1.47,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,42,1.33,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,22,47,1.74,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,18,46,1.85,Hook-and-line fishery
GOA,NORPAC,2008,dusky rockfish,M,14,44,1.52,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,43,1.71,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,17,47,1.5,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,17,45,1.48,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,41,1.22,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,42,1.23,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,42,1.25,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,16,47,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,17,48,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,15,42,1.54,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,19,47,2.1,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,50,44,1.72,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,17,47,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,45,1.58,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,38,43,1.56,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,46,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,39,1.05,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,46,1.8,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,46,1.7,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,46,1.63,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,44,1.55,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,15,44,1.56,Bottom trawl fishery
