ID,AGENCY,NAME,CODE,ID,AGENCY,NAME,CODE
64,AKR,Chinook Salmon,410,89,OBS,SALMON UNIDENTIFIED,220
66,AKR,Coho Salmon,430,89,OBS,SALMON UNIDENTIFIED,220
1646,AKR,Shortraker/Rougheye Rockfish,171,90,OBS,ROUGHEYE ROCKFISH,307
1091,AKR,Triangle Tanner Crab,934,97,OBS,TANNER CRAB UNIDENTIFIED,3
1513,AKR,Miscellaneous Flatfish,120,111,OBS,CALIFORNIA TONGUEFISH,113
1533,AKR,Large Sculpins - Great Sculpin,281,118,OBS,MYOXOCEPHALUS SCULPIN UNIDENTIFIED,440
87,AKR,Bairdi Tanner Crab,931,131,OBS,CRAB UNIDENTIFIED,1
88,AKR,"Crab, Opilio Tanner (Snow)",932,131,OBS,CRAB UNIDENTIFIED,1
73,AKR,"Shark, Other",689,160,OBS,PACIFIC SLEEPER SHARK,62
993,AKR,"Grenadiers (rattails, general)",213,166,OBS,PACIFIC GRENADIER,81
993,AKR,"Grenadiers (rattails, general)",213,167,OBS,GIANT GRENADIER,82
12,AKR,Starry Flounder,129,179,OBS,STARRY FLOUNDER,142
1513,AKR,Miscellaneous Flatfish,120,180,OBS,LONGHEAD DAB,144
1507,AKR,Kamchatka Flounder,117,182,OBS,KAMCHATKA FLOUNDER,147
1553,AKR,Skilfish,715,196,OBS,SKILFISH,212
999,AKR,"Dolly varden, anadromous",531,199,OBS,DOLLY VARDEN,228
1519,AKR,"Snailfish, general",218,266,OBS,PINK SNAILFISH,504
62,AKR,Pacific Herring (bycatch),235,282,OBS,PACIFIC HERRING,611
1519,AKR,"Snailfish, general",218,377,OBS,LOBEFIN SNAILFISH,506
1621,AKR,"Skate, Other",700,409,OBS,ROUGHTAIL SKATE,89
1621,AKR,"Skate, Other",700,411,OBS,BERING SKATE,97
1621,AKR,"Skate, Other",700,413,OBS,WHITEBROW SKATE,162
1513,AKR,Miscellaneous Flatfish,120,461,OBS,SAKHALIN SOLE,148
23,AKR,Thornyhead Rockfish (Idiots),143,475,OBS,BROAD BANDED THORNYHEAD,351
1517,AKR,Eels or eel-like fish  ,210,499,OBS,PALLID EELPOUT,258
27,AKR,Quillback Rockfish,147,527,OBS,QUILLBACK ROCKFISH,343
23,AKR,Thornyhead Rockfish (Idiots),143,528,OBS,SHORTSPINE THORNYHEAD,350
1531,AKR,Other Small Sculpins,160,530,OBS,SCULPIN UNIDENTIFIED,400
80,AKR,Octopus,870,1044,OBS,PELAGIC OCTOPUS UNIDENTIFIED,61
1506,AKR,Arrowtooth Flounder,121,1045,OBS,ARROWTOOTH/KAMCHATKA FLOUNDER,149
16,AKR,Greenland Turbot,134,1169,OBS,TURBOT/KAM/ARROW - UNIDENTIFIED,143
1022,AKR,Snails,890,1353,OBS,CROWNED HAIRY SNAIL,981
1621,AKR,"Skate, Other",700,1627,OBS,SKATE UNIDENTIFIED,90
67,AKR,Pink Salmon,440,89,OBS,SALMON UNIDENTIFIED,220
85,AKR,"Crab, Golden King (Brown)",923,106,OBS,BROWN KING CRAB,8
1037,AKR,"Crab, Hanasaki (Spiny) King",925,107,OBS,RARE KING CRAB,10
1513,AKR,Miscellaneous Flatfish,120,114,OBS,CURLFIN SOLE,117
10,AKR,Yellowfin Sole,127,116,OBS,YELLOWFIN SOLE,140
1029,AKR,"Crab, hair",940,132,OBS,KOREAN HORSEHAIR CRAB,7
1006,AKR,Black hagfish,202,164,OBS,HAGFISH UNIDENTIFIED,77
73,AKR,"Shark, Other",689,165,OBS,SIXGILL SHARK,78
8,AKR,Rex Sole,125,173,OBS,REX SOLE,105
56,AKR,Atka Mackerel,193,189,OBS,ATKA MACKEREL,204
996,AKR,Pacific tomcod,250,194,OBS,PACIFIC TOMCOD,209
1497,AKR,"Sturgeon, general",680,200,OBS,STURGEON UNIDENTIFIED,230
39,AKR,Darkblotched Rockfish,159,222,OBS,DARK BLOTCHED ROCKFISH,311
52,AKR,Splitnose Rockfish,182,225,OBS,SPLITNOSE ROCKFISH,315
48,AKR,Blackgill Rockfish,177,228,OBS,BLACKGILL ROCKFISH,319
49,AKR,Chilipepper Rockfish,178,233,OBS,CHILIPEPPER ROCKFISH,325
1536,AKR,Large Sculpins - Warty Sculpin,284,247,OBS,WARTY SCULPIN,398
1538,AKR,Other Large Sculpins,286,251,OBS,SHORTHORN SCULPIN,406
1538,AKR,Other Large Sculpins,286,254,OBS,BROWN IRISH LORD,410
1521,AKR,"Poacher, general",219,262,OBS,BLACKTIP POACHER,460
62,AKR,Pacific Herring (bycatch),235,272,OBS,SMELT/HERRING UNIDENTIFIED,600
1531,AKR,Other Small Sculpins,160,277,OBS,LONGFIN IRISH LORD SCULPIN,434
76,AKR,Lanternfishes (family Myctophidae),772,290,OBS,LANTERNFISH UNIDENTIFIED,700
59,AKR,"Pricklebacks, etc.  (family Stichaeidae)",208,293,OBS,LONGSNOUT PRICKLEBACK,756
991,AKR,Wrymouths,211,353,OBS,WRYMOUTH UNIDENTIFIED,759
1519,AKR,"Snailfish, general",218,370,OBS,LIPARIS GIBBUS,509
72,AKR,Steelhead Trout,540,418,OBS,STEELHEAD,226
13,AKR,Petrale Sole,131,421,OBS,PETRALE SOLE,112
59,AKR,"Pricklebacks, etc.  (family Stichaeidae)",208,438,OBS,DECORATED WARBONNET,757
59,AKR,"Pricklebacks, etc.  (family Stichaeidae)",208,440,OBS,DAUBED SHANNY,753
1531,AKR,Other Small Sculpins,160,448,OBS,BUFFALO SCULPIN,412
31,AKR,Rougheye Rockfish,151,451,OBS,SHORTRAKER/ROUGHEYE ROCKFISH,354
18,AKR,Northern Rockfish,136,454,OBS,SMALL RED ROCKFISH GROUP,348
1521,AKR,"Poacher, general",219,477,OBS,ALEUTIAN ALLIGATORFISH,462
1511,AKR,"Lumpsucker, smooth",216,478,OBS,SMOOTH LUMPSUCKER,531
