akr_id,akr_name,akr_code,obs_id,obs_name,obs_code
64,Chinook Salmon,410,89,SALMON UNIDENTIFIED,220
66,Coho Salmon,430,89,SALMON UNIDENTIFIED,220
1646,Shortraker/Rougheye Rockfish,171,90,ROUGHEYE ROCKFISH,307
1091,Triangle Tanner Crab,934,97,TANNER CRAB UNIDENTIFIED,3
1513,Miscellaneous Flatfish,120,111,CALIFORNIA TONGUEFISH,113
1533,Large Sculpins - Great Sculpin,281,118,MYOXOCEPHALUS SCULPIN UNIDENTIFIED,440
87,Bairdi Tanner Crab,931,131,CRAB UNIDENTIFIED,1
88,"Crab, Opilio Tanner (Snow)",932,131,CRAB UNIDENTIFIED,1
73,"Shark, Other",689,160,PACIFIC SLEEPER SHARK,62
993,"Grenadiers (rattails, general)",213,166,PACIFIC GRENADIER,81
993,"Grenadiers (rattails, general)",213,167,GIANT GRENADIER,82
12,Starry Flounder,129,179,STARRY FLOUNDER,142
1513,Miscellaneous Flatfish,120,180,LONGHEAD DAB,144
1507,Kamchatka Flounder,117,182,KAMCHATKA FLOUNDER,147
1553,Skilfish,715,196,SKILFISH,212
999,"Dolly varden, anadromous",531,199,DOLLY VARDEN,228
1519,"Snailfish, general",218,266,PINK SNAILFISH,504
62,Pacific Herring (bycatch),235,282,PACIFIC HERRING,611
1519,"Snailfish, general",218,377,LOBEFIN SNAILFISH,506
1621,"Skate, Other",700,409,ROUGHTAIL SKATE,89
1621,"Skate, Other",700,411,BERING SKATE,97
1621,"Skate, Other",700,413,WHITEBROW SKATE,162
1513,Miscellaneous Flatfish,120,461,SAKHALIN SOLE,148
23,Thornyhead Rockfish (Idiots),143,475,BROAD BANDED THORNYHEAD,351
1517,Eels or eel-like fish  ,210,499,PALLID EELPOUT,258
27,Quillback Rockfish,147,527,QUILLBACK ROCKFISH,343
23,Thornyhead Rockfish (Idiots),143,528,SHORTSPINE THORNYHEAD,350
1531,Other Small Sculpins,160,530,SCULPIN UNIDENTIFIED,400
80,Octopus,870,1044,PELAGIC OCTOPUS UNIDENTIFIED,61
1506,Arrowtooth Flounder,121,1045,ARROWTOOTH/KAMCHATKA FLOUNDER,149
16,Greenland Turbot,134,1169,TURBOT/KAM/ARROW - UNIDENTIFIED,143
1022,Snails,890,1353,CROWNED HAIRY SNAIL,981
1621,"Skate, Other",700,1627,SKATE UNIDENTIFIED,90
67,Pink Salmon,440,89,SALMON UNIDENTIFIED,220
85,"Crab, Golden King (Brown)",923,106,BROWN KING CRAB,8
1037,"Crab, Hanasaki (Spiny) King",925,107,RARE KING CRAB,10
1513,Miscellaneous Flatfish,120,114,CURLFIN SOLE,117
10,Yellowfin Sole,127,116,YELLOWFIN SOLE,140
1029,"Crab, hair",940,132,KOREAN HORSEHAIR CRAB,7
1006,Black hagfish,202,164,HAGFISH UNIDENTIFIED,77
73,"Shark, Other",689,165,SIXGILL SHARK,78
8,Rex Sole,125,173,REX SOLE,105
56,Atka Mackerel,193,189,ATKA MACKEREL,204
996,Pacific tomcod,250,194,PACIFIC TOMCOD,209
1497,"Sturgeon, general",680,200,STURGEON UNIDENTIFIED,230
39,Darkblotched Rockfish,159,222,DARK BLOTCHED ROCKFISH,311
52,Splitnose Rockfish,182,225,SPLITNOSE ROCKFISH,315
48,Blackgill Rockfish,177,228,BLACKGILL ROCKFISH,319
49,Chilipepper Rockfish,178,233,CHILIPEPPER ROCKFISH,325
