species,input_area,M_method,M_estimate,version,method_or_source
blackspotted rockfish,AI,amax,0.04029850746268657,1,afsc_allages_max_age
blackspotted rockfish,AI,amax,0.05084745762711865,2,afsc_allages_mean_top5
blackspotted rockfish,AI,gsi,NA,1,NA
blackspotted rockfish,AI,temp,NA,1,NA
blackspotted rockfish,AI,lvb,NA,1,NA
blackspotted rockfish,BC,amax,NA,1,NA
blackspotted rockfish,BC,gsi,NA,1,NA
blackspotted rockfish,BC,temp,NA,1,NA
blackspotted rockfish,BC,lvb,NA,1,NA
blackspotted rockfish,BS,amax,0.0642857142857143,1,afsc_allages_max_age
blackspotted rockfish,BS,amax,0.07438016528925621,2,afsc_allages_mean_top5
blackspotted rockfish,BS,gsi,NA,1,NA
blackspotted rockfish,BS,temp,NA,1,NA
blackspotted rockfish,BS,lvb,NA,1,NA
blackspotted rockfish,GOA,amax,0.05242718446601942,1,afsc_allages_max_age
blackspotted rockfish,GOA,amax,0.05732484076433121,2,afsc_allages_mean_top5
blackspotted rockfish,GOA,gsi,NA,1,NA
blackspotted rockfish,GOA,temp,NA,1,NA
blackspotted rockfish,GOA,lvb,0.15179705437066454,1,2009 GOA trawl survey genetic species ID. Appendix 13B of the 2019 SAFE. Shotwell and Hanselman 2019.
blackspotted rockfish,multi_region,amax,NA,1,NA
blackspotted rockfish,multi_region,gsi,NA,1,NA
blackspotted rockfish,multi_region,temp,NA,1,NA
blackspotted rockfish,multi_region,lvb,NA,1,NA
blackspotted rockfish,WC,amax,NA,1,NA
blackspotted rockfish,WC,gsi,NA,1,NA
blackspotted rockfish,WC,temp,NA,1,NA
blackspotted rockfish,WC,lvb,NA,1,NA
dusky rockfish,AI,amax,0.08059701492537313,1,afsc_allages_max_age
dusky rockfish,AI,amax,0.08544303797468354,2,afsc_allages_mean_top5
dusky rockfish,AI,gsi,NA,1,NA
dusky rockfish,AI,temp,NA,1,NA
dusky rockfish,AI,lvb,NA,1,NA
dusky rockfish,BC,amax,NA,1,NA
dusky rockfish,BC,gsi,NA,1,NA
dusky rockfish,BC,temp,NA,1,NA
dusky rockfish,BC,lvb,NA,1,NA
dusky rockfish,BS,amax,NA,1,NA
dusky rockfish,BS,gsi,NA,1,NA
dusky rockfish,BS,temp,NA,1,NA
dusky rockfish,BS,lvb,NA,1,NA
dusky rockfish,GOA,amax,0.07200000000000001,1,afsc_allages_max_age
dusky rockfish,GOA,amax,0.07917888563049853,2,afsc_allages_mean_top5
dusky rockfish,GOA,amax,0.08059701492537313,3,"Meyer 2000 reported in Munk 2001, specimen collected in 1992"
dusky rockfish,GOA,gsi,0.029072,1,Conrath 2019 weighted mean (weighted by sample size) of the four mean values reported in Table 1
dusky rockfish,GOA,temp,NA,1,NA
dusky rockfish,GOA,lvb,0.3269551612598937,1,Fenske et al. 2020.
dusky rockfish,multi_region,amax,NA,1,NA
dusky rockfish,multi_region,gsi,NA,1,NA
dusky rockfish,multi_region,temp,NA,1,NA
dusky rockfish,multi_region,lvb,NA,1,NA
dusky rockfish,WC,amax,NA,1,NA
dusky rockfish,WC,gsi,NA,1,NA
dusky rockfish,WC,temp,NA,1,NA
dusky rockfish,WC,lvb,NA,1,NA
harlequin rockfish,AI,amax,0.06835443037974684,1,afsc_allages_max_age
harlequin rockfish,AI,amax,0.08517350157728708,2,afsc_allages_mean_top5
harlequin rockfish,AI,amax,0.06666666666666667,3,"Todd TenBrink personal communication 2022 unpublished manuscript, was this age adjusted for likely underestimation??"
harlequin rockfish,AI,gsi,NA,1,NA
harlequin rockfish,AI,temp,NA,1,NA
harlequin rockfish,AI,lvb,NA,1,NA
harlequin rockfish,BC,amax,NA,1,NA
harlequin rockfish,BC,gsi,NA,1,NA
harlequin rockfish,BC,temp,NA,1,NA
harlequin rockfish,BC,lvb,NA,1,NA
harlequin rockfish,BS,amax,NA,1,NA
harlequin rockfish,BS,gsi,NA,1,NA
harlequin rockfish,BS,temp,NA,1,NA
harlequin rockfish,BS,lvb,NA,1,NA
harlequin rockfish,GOA,amax,0.11489361702127661,1,afsc_allages_max_age
harlequin rockfish,GOA,amax,0.13117408906882594,2,afsc_allages_mean_top5
harlequin rockfish,GOA,amax,0.07500000000000001,3,"TenBrink and Helser 2021, note that this manuscript and Kastelle suggest it's probably underestimted, need to add some buffer to sensitivity"
harlequin rockfish,GOA,gsi,0.049059,1,"Ten Brink pers comm, n = 26, mean GSI for stage 3, as per Gunderson"
harlequin rockfish,GOA,temp,0.27829267327359847,1,"McCoy and Gillooly 2008, supplementary materials"
harlequin rockfish,GOA,lvb,NA,1,NA
harlequin rockfish,multi_region,amax,NA,1,NA
harlequin rockfish,multi_region,gsi,NA,1,NA
harlequin rockfish,multi_region,temp,NA,1,NA
harlequin rockfish,multi_region,lvb,NA,1,NA
harlequin rockfish,WC,amax,NA,1,NA
harlequin rockfish,WC,gsi,NA,1,NA
harlequin rockfish,WC,temp,NA,1,NA
harlequin rockfish,WC,lvb,NA,1,NA
northern rockfish,AI,amax,0.06136363636363637,1,afsc_allages_max_age
northern rockfish,AI,amax,0.06818181818181819,2,afsc_allages_mean_top5
northern rockfish,AI,gsi,NA,1,NA
northern rockfish,AI,temp,NA,1,NA
northern rockfish,AI,lvb,NA,1,NA
northern rockfish,BC,amax,NA,1,NA
northern rockfish,BC,gsi,NA,1,NA
northern rockfish,BC,temp,NA,1,NA
northern rockfish,BC,lvb,NA,1,NA
northern rockfish,BS,amax,0.07105263157894737,1,afsc_allages_max_age
northern rockfish,BS,amax,0.07894736842105263,2,afsc_allages_mean_top5
northern rockfish,BS,gsi,NA,1,NA
northern rockfish,BS,temp,NA,1,NA
northern rockfish,BS,lvb,NA,1,NA
northern rockfish,GOA,amax,0.07500000000000001,1,afsc_allages_max_age
northern rockfish,GOA,amax,0.08202531645569622,2,afsc_allages_mean_top5
northern rockfish,GOA,gsi,NA,1,NA
northern rockfish,GOA,temp,NA,1,NA
northern rockfish,GOA,lvb,NA,1,NA
northern rockfish,multi_region,amax,NA,1,NA
northern rockfish,multi_region,gsi,NA,1,NA
northern rockfish,multi_region,temp,NA,1,NA
northern rockfish,multi_region,lvb,NA,1,NA
northern rockfish,WC,amax,NA,1,NA
northern rockfish,WC,gsi,NA,1,NA
northern rockfish,WC,temp,NA,1,NA
northern rockfish,WC,lvb,NA,1,NA
rebs rockfish,AI,amax,0.04029850746268657,1,afsc_allages_max_age
rebs rockfish,AI,amax,0.04397394136807818,2,afsc_allages_mean_top5
rebs rockfish,AI,gsi,NA,1,NA
rebs rockfish,AI,temp,NA,1,NA
rebs rockfish,AI,lvb,0.14351998742373387,1,Spencer et al. 2020 BSRE in the BSAI
rebs rockfish,BC,amax,NA,1,NA
rebs rockfish,BC,gsi,NA,1,NA
rebs rockfish,BC,temp,NA,1,NA
rebs rockfish,BC,lvb,NA,1,NA
rebs rockfish,BS,amax,0.04153846153846154,1,afsc_allages_max_age
rebs rockfish,BS,amax,0.04492512479201331,2,afsc_allages_mean_top5
rebs rockfish,BS,gsi,NA,1,NA
rebs rockfish,BS,temp,NA,1,NA
rebs rockfish,BS,lvb,NA,1,NA
rebs rockfish,GOA,amax,0.04,1,afsc_allages_max_age
rebs rockfish,GOA,amax,0.04507512520868114,2,afsc_allages_mean_top5
rebs rockfish,GOA,amax,0.02634146341463415,3,"ADFG - Age Determination Unit, Juneau, AK, also reported in Munk. no species ID"
rebs rockfish,GOA,gsi,0.03634,1,"Gunderson 1997, data from McDermott 1994"
rebs rockfish,GOA,temp,0.09230928906332918,1,"McCoy and Gillooly 2008, supplementary materials"
rebs rockfish,GOA,lvb,0.19540240312888654,1,"Shotwell and Hanselman 2019, last updated in 2015"
rebs rockfish,multi_region,amax,NA,1,NA
rebs rockfish,multi_region,gsi,NA,1,NA
rebs rockfish,multi_region,temp,NA,1,NA
rebs rockfish,multi_region,lvb,NA,1,NA
rebs rockfish,WC,amax,NA,1,NA
rebs rockfish,WC,gsi,NA,1,NA
rebs rockfish,WC,temp,NA,1,NA
rebs rockfish,WC,lvb,NA,1,NA
redbanded rockfish,AI,amax,NA,1,NA
redbanded rockfish,AI,gsi,NA,1,NA
redbanded rockfish,AI,temp,NA,1,NA
redbanded rockfish,AI,lvb,NA,1,NA
redbanded rockfish,BC,amax,NA,1,NA
redbanded rockfish,BC,gsi,NA,1,NA
redbanded rockfish,BC,temp,NA,1,NA
redbanded rockfish,BC,lvb,0.1231097192026033,1,Haigh and Starr 2006
redbanded rockfish,BS,amax,NA,1,NA
redbanded rockfish,BS,gsi,NA,1,NA
redbanded rockfish,BS,temp,NA,1,NA
redbanded rockfish,BS,lvb,NA,1,NA
redbanded rockfish,GOA,amax,0.0509433962264151,1,"ADFG - Age Determination Unit, Juneau, AK. large sample size >1000, specimen from 1985"
redbanded rockfish,GOA,gsi,NA,1,NA
redbanded rockfish,GOA,temp,0.1553108912622629,1,"McCoy and Gillooly 2008, supplementary materials"
redbanded rockfish,GOA,lvb,NA,1,NA
redbanded rockfish,multi_region,amax,NA,1,NA
redbanded rockfish,multi_region,gsi,NA,1,NA
