common_name,survey,n,q99,max_age,mean_top5
blackspotted rockfish,AI,2426,57,134,106.2
blackspotted rockfish,EBS_SLOPE,439,59.620000000000005,84,72.6
blackspotted rockfish,GOA,2037,59.279999999999745,103,94.2
dusky rockfish,AI,1020,41,67,63.2
dusky rockfish,GOA,5479,39,75,65.8
harlequin rockfish,AI,227,59.700000000000045,79,63.4
harlequin rockfish,GOA,1016,34.85000000000002,47,41.166666666666664
harlequin rockfish,NA,53,19.43999999999999,21,17.333333333333332
northern rockfish,AI,8042,55,75,72.2
northern rockfish,GOA,7115,47,72,62.5
northern rockfish,NA,601,13,16,14.8
redstripe rockfish,GOA,611,35,46,39.2
redstripe rockfish,NA,222,17,30,19.714285714285715
rougheye rockfish,AI,150,96.50999999999999,116,95.6
rougheye rockfish,EBS_SLOPE,208,104.86000000000001,107,104.2
rougheye rockfish,GOA,2196,72.10000000000036,135,113.4
sharpchin rockfish,GOA,567,37.34000000000003,48,43.4
sharpchin rockfish,NA,81,19.60000000000001,22,18.666666666666668
shortraker rockfish,AI,1084,87.17000000000007,124,110
shortraker rockfish,GOA,1826,92.75,146,127.8
shortraker rockfish,NA,81,43.2,44,41.6
shortspine thornyhead,NA,1616,79,108,99.8
silvergray rockfish,GOA,927,63,79,70.8
silvergray rockfish,NA,208,29.930000000000007,32,29.714285714285715
