year,survey,common_name,sex,age,length,weight,age_determination_method
2016,AI,blackspotted rockfish,1,134,590,3286,4
2016,AI,blackspotted rockfish,1,105,500,2002,4
2010,AI,blackspotted rockfish,1,103,540,2212,4
2010,AI,blackspotted rockfish,2,100,620,4616,4
2010,AI,blackspotted rockfish,1,89,530,2676,4
2008,EBS_SLOPE,blackspotted rockfish,1,84,610,4254,4
2008,EBS_SLOPE,blackspotted rockfish,1,75,600,3216,4
2008,EBS_SLOPE,blackspotted rockfish,1,73,560,2380,4
2008,EBS_SLOPE,blackspotted rockfish,1,71,630,4134,4
2008,EBS_SLOPE,blackspotted rockfish,2,60,540,2610,4
2013,GOA,blackspotted rockfish,2,103,530,2482,4
2009,GOA,blackspotted rockfish,1,97,470,1622,4
2013,GOA,blackspotted rockfish,1,91,500,2126,4
2013,GOA,blackspotted rockfish,1,90,530,2462,4
2009,GOA,blackspotted rockfish,1,90,540,2406,4
2016,AI,dusky rockfish,2,67,490,1880,4
2016,AI,dusky rockfish,2,66,490,2124,4
2014,AI,dusky rockfish,2,62,490,1620,4
2014,AI,dusky rockfish,2,61,470,1638,4
2014,AI,dusky rockfish,2,60,410,1398,4
2013,GOA,dusky rockfish,2,75,500,2320,4
2017,GOA,dusky rockfish,2,69,500,1928,4
2015,GOA,dusky rockfish,1,65,450,1436,4
2003,GOA,dusky rockfish,1,60,410,1232,4
2007,GOA,dusky rockfish,2,60,480,2256,4
1996,GOA,harlequin rockfish,1,47,280,256,4
2011,GOA,harlequin rockfish,1,44,290,320,4
1996,GOA,harlequin rockfish,1,41,270,268,4
1996,GOA,harlequin rockfish,2,41,340,552,4
1996,GOA,harlequin rockfish,1,37,290,332,4
1996,GOA,harlequin rockfish,2,37,330,520,4
2012,AI,northern rockfish,2,75,400,998,4
2006,AI,northern rockfish,1,74,340,486,4
1997,AI,northern rockfish,1,72,360,616,4
2010,AI,northern rockfish,2,71,370,690,4
1983,AI,northern rockfish,2,69,324,NA,4
2009,GOA,northern rockfish,2,72,390,844,4
2005,GOA,northern rockfish,2,67,440,NA,4
2001,GOA,northern rockfish,2,60,460,1776,4
2001,GOA,northern rockfish,1,60,370,738,4
2009,GOA,northern rockfish,2,58,440,1246,4
2019,GOA,northern rockfish,1,58,390,841,6
2013,GOA,redstripe rockfish,1,46,330,490,4
2013,GOA,redstripe rockfish,1,41,380,746,4
2013,GOA,redstripe rockfish,2,37,460,1252,4
1996,GOA,redstripe rockfish,1,36,360,592,4
2013,GOA,redstripe rockfish,1,36,350,560,4
2006,AI,rougheye rockfish,1,116,600,4272,4
2006,AI,rougheye rockfish,2,97,540,2508,4
2006,AI,rougheye rockfish,1,96,640,4674,4
2006,AI,rougheye rockfish,1,85,550,3148,4
2006,AI,rougheye rockfish,1,84,610,3924,4
2012,EBS_SLOPE,rougheye rockfish,1,107,610,3464,4
2008,EBS_SLOPE,rougheye rockfish,1,106,540,2640,4
2008,EBS_SLOPE,rougheye rockfish,1,105,610,3706,4
2008,EBS_SLOPE,rougheye rockfish,1,103,620,4044,4
2012,EBS_SLOPE,rougheye rockfish,1,92,560,3096,4
2009,GOA,rougheye rockfish,1,135,640,3342,4
2013,GOA,rougheye rockfish,1,113,520,2146,4
2009,GOA,rougheye rockfish,1,113,490,1762,4
2019,GOA,rougheye rockfish,1,108,600,3710,4
2009,GOA,rougheye rockfish,2,98,480,1570,4
1996,GOA,sharpchin rockfish,2,48,350,550,4
1996,GOA,sharpchin rockfish,1,48,290,340,4
1996,GOA,sharpchin rockfish,1,43,270,290,4
1996,GOA,sharpchin rockfish,2,39,360,606,4
1996,GOA,sharpchin rockfish,1,39,280,344,4
2006,AI,shortraker rockfish,2,124,960,14260,5
2006,AI,shortraker rockfish,2,115,840,10670,5
2006,AI,shortraker rockfish,2,107,1110,23720,5
2004,AI,shortraker rockfish,1,104,1020,20100,5
2004,AI,shortraker rockfish,2,100,570,3756,5
2003,GOA,shortraker rockfish,1,146,790,8665,5
1996,GOA,shortraker rockfish,2,136,630,4482,5
1996,GOA,shortraker rockfish,2,127,810,10865,5
2005,GOA,shortraker rockfish,2,116,670,5054,5
2005,GOA,shortraker rockfish,2,114,770,7750,5
2005,GOA,silvergray rockfish,1,79,680,4724,4
1999,GOA,silvergray rockfish,1,75,650,4230,4
1996,GOA,silvergray rockfish,1,67,640,3408,4
2005,GOA,silvergray rockfish,2,67,640,3270,5
1999,GOA,silvergray rockfish,1,66,590,2436,4
